Timestamp,Student Name,Department,Event Name,Rating,Feedback,Suggestions
2025-07-24 16:00:22.866379,Student_763,BBA,Cultural Week,4,Great work by the organizing committee!,Better food arrangements needed.
2025-04-21 16:00:22.866379,Student_835,ECE,Seminar,2,Great work by the organizing committee!,Bring more sponsors.
2025-02-02 16:00:22.866379,Student_468,ECE,Alumni Meet,4,"It was average, expected better coordination.",Better food arrangements needed.
2025-10-15 16:00:22.866379,Student_378,BBA,Alumni Meet,2,The event was engaging and informative.,Include more guest speakers.
2024-11-07 16:00:22.866379,Student_972,CSE,Hackathon,3,Very inspiring and fun event.,Improve the coordination next time.
2025-01-28 16:00:22.866379,Student_980,MBA,Sports Meet,3,Excellent event! Great speakers and arrangements.,Start the event on time.
2025-08-05 16:00:22.866379,Student_979,MBA,Tech Fest,2,Excellent event! Great speakers and arrangements.,Start the event on time.
2024-11-20 16:00:22.866379,Student_496,BBA,Cultural Week,4,"It was average, expected better coordination.",Improve the coordination next time.
2025-10-09 16:00:22.866379,Student_276,MBA,Tech Fest,5,Good experience but the sound system had issues.,Keep it up!
2025-03-09 16:00:22.866379,Student_175,CSE,Alumni Meet,2,Could have more workshops next time.,Make it longer next time!
2025-01-17 16:00:22.866379,Student_817,ECE,Hackathon,4,Great work by the organizing committee!,Better food arrangements needed.
2025-09-06 16:00:22.866379,Student_950,MBA,Sports Meet,3,"It was average, expected better coordination.",Improve the coordination next time.
2025-06-06 16:00:22.866379,Student_984,IT,Alumni Meet,2,Could have more workshops next time.,Add more interactive sessions.
2025-07-21 16:00:22.866379,Student_495,ECE,Workshop,2,The event was really well organized and enjoyable.,Keep it up!
2025-09-05 16:00:22.866379,Student_250,MBA,Tech Fest,5,I liked it but it started late.,Need more technical activities.
2025-09-01 16:00:22.866379,Student_138,ECE,Cultural Week,2,Very inspiring and fun event.,Include more guest speakers.
2025-04-30 16:00:22.866379,Student_141,ME,Alumni Meet,3,Great work by the organizing committee!,Include more guest speakers.
2025-03-19 16:00:22.866379,Student_733,MBA,Cultural Week,2,Excellent event! Great speakers and arrangements.,Bring more sponsors.
2025-05-18 16:00:22.866379,Student_314,IT,Workshop,2,Could have more workshops next time.,Add more interactive sessions.
2025-03-07 16:00:22.866379,Student_942,ECE,Sports Meet,3,Excellent event! Great speakers and arrangements.,Better food arrangements needed.
2025-03-03 16:00:22.866379,Student_687,BBA,Tech Fest,2,Good experience but the sound system had issues.,Need more technical activities.
2025-08-15 16:00:22.866379,Student_591,ME,Sports Meet,2,"It was average, expected better coordination.",Start the event on time.
2025-02-17 16:00:22.866379,Student_329,ME,Hackathon,4,Great work by the organizing committee!,Bring more sponsors.
2025-05-07 16:00:22.866379,Student_752,BBA,Sports Meet,5,Could have more workshops next time.,Start the event on time.
2025-05-11 16:00:22.866379,Student_492,BBA,Sports Meet,3,Excellent event! Great speakers and arrangements.,Need more technical activities.
2025-01-18 16:00:22.866379,Student_733,ECE,Tech Fest,3,Good experience but the sound system had issues.,Include more guest speakers.
2025-10-23 16:00:22.866379,Student_128,MBA,Hackathon,2,Excellent event! Great speakers and arrangements.,Start the event on time.
2024-11-23 16:00:22.866379,Student_747,CSE,Workshop,5,The event was really well organized and enjoyable.,Include more guest speakers.
2024-12-11 16:00:22.866379,Student_441,IT,Tech Fest,5,Very inspiring and fun event.,Bring more sponsors.
2025-06-05 16:00:22.866379,Student_610,Civil,Tech Fest,4,"It was average, expected better coordination.",Include more guest speakers.
2025-03-25 16:00:22.866379,Student_400,MBA,Workshop,5,Good experience but the sound system had issues.,Keep it up!
